	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA-44-5643-01A	0.0624099890500278	0	0.0369141969127781	0.110940004914665	0	0.0983764673369526	0.108096155638063	0.0224394981696304	0.00754031156280856	0.0145767978829944	0	0	0.0118143515807051	0.157343831795932	0.104040535044341	0.13709402539751	0.0544310329993361	0.0194900893707398	0.0544927123435174	0	0	0	0	0.42106539932663	0.906280386019717
TCGA-44-5644-01A	0.073331434759723	0	0.205712935835564	0.101701551469711	0	0.0284944708472197	0.0814622561496927	0.0410626066038174	0.0152291511676207	0	0	0.0209456874222492	0	0.211211122682067	0.0198734756018081	0.0962417018104675	0	0.0542348141426318	0.0100452271132104	0	0	0.0404535643942167	0.37	0.049709603836118	1.0530938584145
TCGA-44-5645-01A	0.00910268450676752	0.0259839410504361	0.0170772774049487	0.0238307530560351	0	0.283990614645821	0.00680330683314399	0	0.0126611113362658	0	0	0.0365299753618124	0.0491430927756008	0.0892961180358812	0.0198427129585981	0.0819030302447002	0.240976328142373	0.0276043761536191	0.0752546774939964	0	0	0	0	0.363860589526874	0.932092382138237
TCGA-44-6145-01A	0.0109624967625983	0.00366852673248423	0.109168073215905	0.254900336179214	0	0.0519839830746568	0.10417612799354	0	0.00360722557386752	0	0	0.0254679634219091	0.000526446645465499	0.0791132543076263	0.120554519953158	0.113193617274291	0.00131293609032257	0.0294193228977936	0.0667350814148013	0	0	0.025210088462368	0	0.468255352598678	0.883505480674786
TCGA-44-6146-01A	0.0208662405016351	0	0.0965490419150397	0.151900038250385	0	0.317093658063762	0.012517569831271	0.00714337238347999	0	0	0.00430882262361959	0	0.025079753329616	0.0162558973784431	0.0909563743600837	0.107280442684887	0.0414344963791043	0.00481032381102497	0.0702822141768845	0	0	0.0335217543107639	0.27	0.0751850486453975	1.05581441692553
TCGA-44-6147-01A	0	0.0656242898640452	0.105302328187288	0.00490106095785728	0	0.204194084394535	0.0367173633520085	0	0	0.0308983559630732	0	0	0	0.2531382050599	0.0639492050204085	0.102262973368456	0	0.0454481551111286	0.0833692122173677	0	0.00315440802433823	0.00104035847959395	0	0.289883568946646	0.965523419133779
TCGA-44-6148-01A	0.0172692475781973	0.0362375352492492	0.182690739013378	0.0435700350462395	0	0.083561752280063	0	0.0222299809767764	0.00711866515232839	0	0	0.00798432154458129	0.0832698134811257	0.0370005471840334	0.00676731467393492	0.304872329870827	0.0127946092636205	0.0115922892385175	0.141513004941821	0	0	0.00152781450530745	0	0.306997750786234	0.954623235182826
TCGA-44-6774-01A	0.00330284627496948	0	0.103012443181175	0.00362297161544926	0	0.136585756597716	0.00991453988156568	0	0.0456406301368496	0	0.00809288325397092	0	0.0224452731821391	0.312134423171448	0.0708113496246692	0.223615392113932	0.0163681921706537	0	0.0257311797286622	0	0	0.0187221190668003	0	0.498426823475835	0.866581206308861
TCGA-44-6775-01A	2.73473365301051e-05	0	0.0460984017723843	0	0	0.0794921870899532	0.00166260633738978	0.00304045072351303	0.0350026845984324	0	0	0.0201783852613404	0.0206124100379977	0.343174066339893	0.0207812875142843	0.202034985146875	0.127872121137094	0.0257574213023895	0.0605601623200972	0	0.00916340174051774	0.00454208134130871	0	0.557131558875299	0.830601327176297
TCGA-44-6776-01A	0.0293247352944984	0	0.127908587782272	0.0585230049645173	0	0.230704688777618	0	0.0417373435231055	0	0	0	0.075931083276887	0.0380209004878599	0	0.0248198234585584	0.104500025725405	0.102116436712849	0.0601546072135732	0.100201875830428	0	0	0.00605688695242782	0.03	0.147967903444284	1.01417734716757
